,이름,가격,평점,URL,파일이름
38,"하림 닭볶음탕용 닭고기 2개입 (냉장), 2000g, 1개","16,900",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1832588503665780-dfbeb730-77b3-4455-a26b-fe31fc9cd40b.jpg,"/Users/choejong-gyu/Desktop/image//39등,하림 닭볶음탕용 닭고기 2개입 (냉장), 2000g, 1개.jpg"
39,"베지밀 달콤한 비 두유, 190ml, 48개","31,370",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/f6fbbd14-d003-4116-a672-619add4078e78119745746782827078.png,"/Users/choejong-gyu/Desktop/image//40등,베지밀 달콤한 비 두유, 190ml, 48개.jpg"
40,"종근당건강 헬씨칸 로얄 밀크시슬, 30정, 3개","24,720",5.0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2415929365528314-08d818fc-9b6b-4246-aa73-7e52e0bc2bab.jpg,"/Users/choejong-gyu/Desktop/image//41등,종근당건강 헬씨칸 로얄 밀크시슬, 30정, 3개.jpg"
41,"닥터유 제주 용암수 무라벨, 2L, 24개","18,680",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4230087365294859-f1e93bbd-5fd3-402a-a32f-37b8af7961c5.jpg,"/Users/choejong-gyu/Desktop/image//42등,닥터유 제주 용암수 무라벨, 2L, 24개.jpg"
42,"페레로로쉐 초콜릿 3p, 38g, 16개","24,030",5.0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2881899050912964-b5f9fe56-2303-4aad-9cb7-b20c2b597b18.jpg,"/Users/choejong-gyu/Desktop/image//43등,페레로로쉐 초콜릿 3p, 38g, 16개.jpg"
43,"매일 소화가 잘되는 우유, 190ml, 24개","19,350",5.0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7894116658909204-db116e88-3df7-4a51-9530-78dc92694281.png,"/Users/choejong-gyu/Desktop/image//44등,매일 소화가 잘되는 우유, 190ml, 24개.jpg"
44,"루카스나인 시그니처 더블샷 라떼, 14.9g, 50개입, 2개","30,630",5.0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3069245533672940-06ab1b14-533a-4f2b-9130-f4e1e8517bd2.jpg,"/Users/choejong-gyu/Desktop/image//45등,루카스나인 시그니처 더블샷 라떼, 14.9g, 50개입, 2개.jpg"
45,"꼬모쎔쁘레 합격기원 수제초콜릿, 192g, 1개","25,120",4.5,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1836573977368379-b130c651-1238-4ffa-bfb8-ed97a26fd4f0.jpg,"/Users/choejong-gyu/Desktop/image//46등,꼬모쎔쁘레 합격기원 수제초콜릿, 192g, 1개.jpg"
46,"롯데 밀키스 제로, 300ml, 24개","18,410",5.0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/08/18/8/431d609d-45b6-4369-a24a-aeeb2d1d7a4c.jpg,"/Users/choejong-gyu/Desktop/image//47등,롯데 밀키스 제로, 300ml, 24개.jpg"
47,"맛있는 오뚜기밥 오곡, 210g, 24개","27,000",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/ddfab5ec-7f9d-4c30-86cf-79afb4e30ef6650665677393309073.png,"/Users/choejong-gyu/Desktop/image//48등,맛있는 오뚜기밥 오곡, 210g, 24개.jpg"
48,"센트룸 맨 멀티비타민 미네랄 1 410mg 70.5g, 50정, 1개","19,900",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1653947104748340-35db5326-32ff-4acf-ab1f-ec7bbd73d6cc.jpg,"/Users/choejong-gyu/Desktop/image//49등,센트룸 맨 멀티비타민 미네랄 1 410mg 70.5g, 50정, 1개.jpg"
